"Alejandro Gonzalez","Adrian Mannarino",18,17
"Ivo Karlovic","Alex Bogomolov Jr.",12,8
"Feliciano Lopez","Dudi Sela",13,8
"Tim Smyczek","Jack Sock",13,14
"Joao Sousa","Aleksandr Nedovyesov",12,5
"Dominic Thiem","Daniel Kosakowski",13,8
"Daniel Kosakowski","David Goffin",12,5
"Dominic Thiem","Nicolas Meister",12,6
"David Goffin","James McGee",13,8
"Dominic Thiem","Matt Reid",13,7
"Novak Djokovic","Rafael Nadal",12,6
"Rafael Nadal","Tomas Berdych",0,0
"Novak Djokovic","Kei Nishikori",0,0
"Rafael Nadal","Milos Raonic",16,12
"Novak Djokovic","Andy Murray",13,8
"Kei Nishikori","Roger Federer",16,15
"Tomas Berdych","Alexandr Dolgopolov",13,10
"Rafael Nadal","Fabio Fognini",12,4
"Novak Djokovic","Tommy Robredo",13,8
"Alexandr Dolgopolov","Stan Wawrinka",15,11
"Kei Nishikori","David Ferrer",16,18
"Roger Federer","Richard Gasquet",12,3
"Andy Murray","Jo-Wilfried Tsonga",12,5
"Tomas Berdych","John Isner",13,8
"Milos Raonic","Benjamin Becker",12,7
"Rafael Nadal","Denis Istomin",12,1
"Novak Djokovic","Florian Mayer",0,0
"Stan Wawrinka","Edouard Roger-Vasselin",13,9
"David Ferrer","Andreas Seppi",12,5
"Roger Federer","Thiemo de Bakker",12,6
"Andy Murray","Feliciano Lopez",12,5
"Tomas Berdych","Joao Sousa",12,6
"Richard Gasquet","Kevin Anderson",12,7
"John Isner","Nicolas Almagro",13,8
"Milos Raonic","Guillermo Garcia-Lopez",12,3
"Fabio Fognini","Roberto Bautista Agut",16,12
"Kei Nishikori","Grigor Dimitrov",14,11
"Rafael Nadal","Lleyton Hewitt",12,4
"Novak Djokovic","Jeremy Chardy",12,7
"Stan Wawrinka","Daniel Gimeno-Traver",15,9
"David Ferrer","Teymuraz Gabashvili",12,4
"Roger Federer","Ivo Karlovic",13,10
"Andy Murray","Matthew Ebden",15,7
"Tomas Berdych","Stephane Robert",13,7
"Richard Gasquet","Alejandro Gonzalez",13,10
"John Isner","Donald Young",18,14
"Jo-Wilfried Tsonga","Adrian Mannarino",12,6
"Milos Raonic","Jack Sock",13,10
"Fabio Fognini","Lukas Lacko",12,8
"Grigor Dimitrov","Albert Montanes",18,11
"Tommy Robredo","Dominic Thiem",13,10
"Kevin Anderson","Horacio Zeballos",12,7
"Roberto Bautista Agut","Jerzy Janowicz",12,5
"Kei Nishikori","Marinko Matosevic",12,5
"Guillermo Garcia-Lopez","Gael Monfils",13,7
"Marcos Baghdatis","Philipp Kohlschreiber",17,18
"Edouard Roger-Vasselin","Marin Cilic",13,8
"Joao Sousa","Gilles Simon",16,15
"Feliciano Lopez","Jiri Vesely",13,8
"Roberto Bautista Agut","Steve Johnson",16,10
"Guillermo Garcia-Lopez","Bradley Klahn",13,11
"Ivo Karlovic","Paul-Henri Mathieu",14,12
"Adrian Mannarino","Nikolay Davydenko",13,9
"Jarkko Nieminen","Bernard Tomic",12,1
"Jack Sock","Guido Pella",12,7
"Joao Sousa","Pablo Carreno Busta",13,10
"Dominic Thiem","Lukas Rosol",13,10
"Horacio Zeballos","David Goffin",13,8
"David Goffin","Jan-Lennard Struff",14,11
"Jack Sock","Victor Estrella Burgos",12,7
"Dominic Thiem","Peter Polansky",13,8
"Steve Johnson","Alex Kuznetsov",12,6
"David Goffin","Elias Ymer",12,5
"Dominic Thiem","Rhyne Williams",13,7
"Jack Sock","Marton Fucsovics",12,6
"Steve Johnson","Michael Russell",13,10
"Guillermo Garcia-Lopez","Marcel Granollers",17,14
"Guillermo Garcia-Lopez","Roberto Carballes Baena",18,13
"Guillermo Garcia-Lopez","Benoit Paire",14,11
"Victor Hanescu","Kevin Anderson",12,8
"Marcel Granollers","Albert Ramos-Vinolas",13,9
"Roberto Carballes Baena","Joao Sousa",19,15
"Guillermo Garcia-Lopez","Carlos Berlocq",13,7
"Joao Sousa","Igor Sijsling",12,6
"Federico Delbonis","Gilles Simon",12,8
"Guillermo Garcia-Lopez","Mikhail Kukushkin",14,12
"Roberto Carballes Baena","David Goffin",13,7
"Albert Ramos-Vinolas","Lamine Ouahab",14,10
"Gilles Simon","Andrey Kuznetsov",12,5
"David Goffin","Marco Cecchinato",12,4
"Gilles Simon","Roberto Marcora",18,12
"David Goffin","Richard Becker",12,3
"Gilles Simon","Nikola Cacic",16,16
"David Goffin","Gianluca Naso",12,4
"Nicolas Almagro","Jack Sock",12,6
"Dustin Brown","John Isner",19,17
"Fernando Verdasco","Steve Johnson",16,9
"Alejandro Gonzalez","Feliciano Lopez",8,3
"Jack Sock","Benjamin Becker",12,7
"Feliciano Lopez","Robby Ginepri",13,7
"Jack Sock","Ivo Karlovic",12,5
"Steve Johnson","Denis Kudla",13,9
"Stan Wawrinka","Roger Federer",17,14
"Roger Federer","Novak Djokovic",13,7
"Stan Wawrinka","David Ferrer",13,7
"David Ferrer","Rafael Nadal",13,10
"Novak Djokovic","Guillermo Garcia-Lopez",16,10
"Stan Wawrinka","Milos Raonic",13,8
"Roger Federer","Jo-Wilfried Tsonga",15,13
